Table.Name;Field.Name;DataType
SpecimenExternalComment;ml59_Translation;String
SpecimenExternalComment;ml59_Version;Positive integer
SpecificSite;ssit_SpecimenInternalId;INT64
Norm;norm_MaxAge;Positive fractional
DeltaNorm;dnrm_Id;INT64
DeltaNorm;dnrm_CreationUser;INT64
DeltaNorm;dnrm_LastUpdateUser;INT64
DeltaNorm;dnrm_Version;Positive integer
DeltaNorm;dnrm_Property;INT64
DeltaNorm;dnrm_ObjectTemplate;INT64
DeltaNorm;dnrm_LapseDenominator;Positive fractional
DeltaNorm;dnrm_MaximumLapse;Positive fractional
DeltaNorm;dnrm_LowLimit;Fractional
DeltaNorm;dnrm_HighLimit;Fractional
DeltaNorm;dnrm_Pivot;Fractional
Result;rslt_NormSeverity;Integer
Result;rslt_DeltaNormSeverity;Integer
Result;rslt_QCSeverity;Integer
Result;rslt_Severity;Positive integer
DeltaNorm;dnrm_Severity;Positive integer
DeltaNorm;dnrm_ExternalComment;INT64
gp_Site;gsit_MailPort;String
gp_Site;gsit_MailServer;String
gp_Site;gsit_LastUpdateTime;DateTime
Result;rslt_Specimen;INT64
Norm;norm_ExternalComment;INT64
DeltaNorm;dnrm_Enabled;Logical
DeltaNorm;dnrm_InternalComment;INT64
Result;rslt_InternalComment;String
Action;actn_CreationTime;DateTime
Action;actn_LastUpdateTime;DateTime
Animal;anml_CreationTime;DateTime
Animal;anml_LastUpdateTime;DateTime
Identification;idnt_CreationTime;DateTime
Identification;idnt_LastUpdateTime;DateTime
Conversion;cnv_CreationTime;DateTime
Conversion;cnv_LastUpdateTime;DateTime
Correspondent;crsp_CreationTime;DateTime
Correspondent;crsp_LastUpdateTime;DateTime
Country;cnty_CreationTime;DateTime
Country;cnty_LastUpdateTime;DateTime
DeltaNorm;dnrm_CreationTime;DateTime
DeltaNorm;dnrm_LastUpdateTime;DateTime
Department;dept_CreationTime;DateTime
Department;dept_LastUpdateTime;DateTime
Dimension;dim_CreationTime;DateTime
Dimension;dim_LastUpdateTime;DateTime
Encounter;enct_CreationTime;DateTime
Encounter;enct_LastUpdateTime;DateTime
Institution;inst_CreationTime;DateTime
Institution;inst_LastUpdateTime;DateTime
IssuerCombination;icmb_CreationTime;DateTime
IssuerCombination;icmb_LastUpdateTime;DateTime
Lab;lab_CreationTime;DateTime
Lab;lab_LastUpdateTime;DateTime
Lot;lot_CreationTime;DateTime
Lot;lot_LastUpdateTime;DateTime
Material;mat_CreationTime;DateTime
Material;mat_LastUpdateTime;DateTime
MaterialInput;mati_CreationTime;DateTime
MaterialInput;mati_LastUpdateTime;DateTime
MaterialOutput;mato_CreationTime;DateTime
MaterialOutput;mato_LastUpdateTime;DateTime
Municipality;mncp_CreationTime;DateTime
Municipality;mncp_LastUpdateTime;DateTime
Norm;norm_CreationTime;DateTime
Norm;norm_LastUpdateTime;DateTime
Object;obj_CreationTime;DateTime
Object;obj_LastUpdateTime;DateTime
ObjectTemplate;objt_CreationTime;DateTime
ObjectTemplate;objt_LastUpdateTime;DateTime
Order;ord_CreationTime;DateTime
Order;ord_LastUpdateTime;DateTime
Organization;org_CreationTime;DateTime
Organization;org_LastUpdateTime;DateTime
PanelMember;panm_CreationTime;DateTime
PanelMember;panm_LastUpdateTime;DateTime
Person;prsn_CreationTime;DateTime
Person;prsn_LastUpdateTime;DateTime
HCProvider;hcpr_CreationTime;DateTime
HCProvider;hcpr_LastUpdateTime;DateTime
Procedure;proc_CreationTime;DateTime
Procedure;proc_LastUpdateTime;DateTime
ProcedureInput;prci_CreationTime;DateTime
ProcedureInput;prci_LastUpdateTime;DateTime
ProcedureOutput;prco_CreationTime;DateTime
ProcedureOutput;prco_LastUpdateTime;DateTime
Property;prop_CreationTime;DateTime
Property;prop_LastUpdateTime;DateTime
PropertyClassification;pcl_CreationTime;DateTime
PropertyClassification;pcl_LastUpdateTime;DateTime
PropertyClassificationNode;pcln_CreationTime;DateTime
PropertyClassificationNode;pcln_LastUpdateTime;DateTime
PropertyInput;prpi_CreationTime;DateTime
PropertyInput;prpi_LastUpdateTime;DateTime
PropertyOutput;prpo_CreationTime;DateTime
PropertyOutput;prpo_LastUpdateTime;DateTime
QCPopulation;qcp_CreationTime;DateTime
QCSchedule;qcs_CreationTime;DateTime
QCSchedule;qcs_LastUpdateTime;DateTime
Result;rslt_CreationTime;DateTime
Result;rslt_LastUpdateTime;DateTime
ResultInput;rsti_CreationTime;DateTime
ResultInput;rsti_LastUpdateTime;DateTime
ResultOutput;rsto_CreationTime;DateTime
ResultOutput;rsto_LastUpdateTime;DateTime
SpecificSite;ssit_CreationTime;DateTime
SpecificSite;ssit_LastUpdateTime;DateTime
Specimen;spmn_CreationTime;DateTime
Specimen;spmn_LastUpdateTime;DateTime
SpecimenInput;spmi_CreationTime;DateTime
SpecimenInput;spmi_LastUpdateTime;DateTime
SpecimenOutput;spmo_CreationTime;DateTime
SpecimenOutput;spmo_LastUpdateTime;DateTime
Station;stn_CreationTime;DateTime
Station;stn_LastUpdateTime;DateTime
Stay;stay_CreationTime;DateTime
Stay;stay_LastUpdateTime;DateTime
Unit;unit_CreationTime;DateTime
Unit;unit_LastUpdateTime;DateTime
Ward;ward_CreationTime;DateTime
Ward;ward_LastUpdateTime;DateTime
WorkList;wlst_CreationTime;DateTime
WorkListTemplate;wlt_CreationTime;DateTime
WorkListTemplate;wlt_LastUpdateTime;DateTime
WorkListTemplateEntry;wlte_CreationTime;DateTime
WorkListTemplateEntry;wlte_LastUpdateTime;DateTime
w_Sample;smpl_Specimen;INT64
w_Sample;smpl_SpecimenRecid;INT64
Report;rprt_CreationUser;INT64
Report;rprt_CreationTime;DateTime
Report;rprt_LastUpdateUser;INT64
Report;rprt_LastUpdateTime;DateTime
ReportTemplate;rptp_CreationUser;INT64
ReportTemplate;rptp_CreationTime;DateTime
ReportTemplate;rptp_LastUpdateUser;INT64
ReportTemplate;rptp_LastUpdateTime;DateTime
Report;rprt_Id;INT64
Property;prop_Material;INT64
SpecificSite;ssit_SpecimenInputIntId;INT64
QCPopulation;qcp_TargetValue;Fractional
QCPopulation;qcp_TargetDeviation;Fractional
QCPopulation;qcp_TargetValueType;String
WorkListTemplate;wlt_SortCriterion;INT64
WorkListTemplate;wlt_IncludeCriterion;INT64
WorkListTemplate;wlt_GridActionLabel;INT64
StationFlag;snfg_Id;INT64
StationFlag;snfg_CreationUser;INT64
StationFlag;snfg_CreationTime;DateTime
StationFlag;snfg_LastUpdateUser;INT64
StationFlag;snfg_LastUpdateTime;DateTime
StationFlag;snfg_Version;Positive integer
StationFlag;snfg_Station;INT64
StationFlag;snfg_Flag;String
StationFlag;snfg_Severity;Positive integer
Result;rslt_StationSeverity;Integer
StationFlag;snfg_Comment;INT64
Norm;norm_LowLimit;Fractional
Norm;norm_HighLimit;Fractional
Result;rslt_DisplayString;String
Result;rslt_ChannelQuality;Enumerated
QCPopulation;qcp_Mean;Fractional
QCPopulation;qcp_StandardDeviation;Fractional
ReportTemplate;rptp_Footer;INT64
ReportTemplate;rptp_Trailer;INT64
ReportTemplate;rptp_ResultMark;INT64
gp_SiteAttribute;satt_Version;Positive integer
gp_SiteAttribute;satt_LastUpdateTime;DateTime
gp_SiteAttribute;satt_LastUpdateUser;INT64
gp_SiteAttribute;satt_CreationTime;DateTime
gp_SiteAttribute;satt_CreationUser;INT64
gp_SiteAttribute;satt_Name;Mnemonic
gp_SiteAttribute;satt_Order;Positive integer
gp_SiteAttribute;satt_Table;INT64
gp_SiteAttribute;satt_Id;INT64
gp_SiteAttributeValue;satv_Version;Positive integer
gp_SiteAttributeValue;satv_LastUpdateTime;DateTime
gp_SiteAttributeValue;satv_LastUpdateUser;INT64
gp_SiteAttributeValue;satv_StringValue;String
gp_SiteAttributeValue;satv_Template;INT64
gp_SiteAttributeValue;satv_Record;INT64
ReportTemplate;rptp_FirstPageHeader;INT64
ReportTemplate;rptp_Header;INT64
gp_Sequence;seq_IncrementTime;DateTime
gp_Sequence;seq_Value;INT64
Firm;firm_Id;INT64
